code commune;code postale;Ville;;;;;;;departement;
56189;56500;Radenac;;47.9491864881;-2.7130262254;189;33;2;56;
47271;47120;Saint-Pierre-sur-Dropt;;44.6486668035;0.2065036424;271;31;2;47;
31058;31450;Belbèze-de-Lauragais;;43.4370028860;1.5567983096;58;21;3;31;
84120;84390;Saint-Trinit;;44.0960361919;5.4788587888;120;20;3;84;
19177;19350;Rosiers-de-Juillac;;45.2869415245;1.3081733653;177;12;1;19;
35140;35320;Lalleu;;47.8562627684;-1.5223061859;140;40;2;35;
38218;38260;Marcilloles;;45.3465047773;5.1756508626;218;25;1;38;
57682;57560;Turquestein-Blancrupt;;48.5598070165;7.0868698877;682;16;5;57;
55093;55300;Buxières-sous-les-Côtes;;48.9063587971;5.6783526742;93;27;2;55;
17402;17240;Saint-Sigismond-de-Clermont;;45.4476679047;-0.5460727905;402;27;1;17;
91514;91480;Quincy-sous-Sénart;;48.6703327314;2.5283740494;514;38;2;91;
17020;17520;Arthenac;;45.5031576669;-0.3237766445;20;2;1;17;
52129;52110;Cirey-sur-Blaise;;48.3335754386;4.9360941144;129;11;3;52;
80015;80200;Aizecourt-le-Haut;;49.9669534703;2.9825028412;15;33;4;80;
79330;79110;Tillou;;46.1507015837;-0.1210215907;330;10;2;79;
27588;27950;Saint-Pierre-d'Autils;;49.1247226398;1.4275788396;588;36;3;27;
73014;73200;Allondaz;;45.7116530326;6.3722383512;14;5;1;73;
7081;7260;Dompnac;;44.5628656588;4.1071679513;81;25;1;7;
24257;24540;Marsalès;;44.6997029290;0.8906227344;257;20;1;24;
55196;55200;Frémeréville-sous-les-Côtes;;48.8038365424;5.6559448026;196;5;2;55;
50624;50200;Vendelée;La;49.0833532845;-1.4579964493;624;36;3;50;
77257;77440;Lizy-sur-Ourcq;;49.0352062852;3.0189321303;257;15;1;77;
50469;50760;Sainte-Geneviève;;49.6595933268;-1.3069626688;469;30;2;50;
85191;85000;Roche-sur-Yon;La;46.6675261644;-1.4077954093;191;98;2;85;
32047;32480;Berrac;;44.0109156469;0.5492687356;47;12;2;32;
52271;52800;Lanques-sur-Rognon;;48.0878260847;5.3687015444;271;21;1;52;
54236;54260;Grand-Failly;;49.4211588157;5.5202001265;236;15;1;54;
9260;9500;Sainte-Foi;;43.1257603127;1.9172086969;260;10;2;9;
6147;6690;Tourrette-Levens;;43.7860737213;7.2725568209;147;12;2;6;
14587;14280;Saint-Germain-la-Blanche-Her;;49.1955983590;-0.4215958244;587;9;2;14;
30148;30260;Liouc;;43.8897491816;3.9827632348;148;21;3;30;
6001;6910;Aiglun;;43.8524188000;6.9349423330;1;21;1;6;
3188;3500;Montord;;46.2897924844;3.2396232165;188;26;2;3;
88395;88700;Romont;;48.3466157075;6.5807959287;395;21;1;88;
55033;55270;Baulny;;49.2660859501;5.0240774990;33;22;3;55;
77127;77170;Coubert;;48.6782857887;2.7083859088;127;2;2;77;
14302;14950;Glanville;;49.2767710581;0.0750189892;302;27;3;14;
43247;43450;Torsiac;;45.3520799718;3.1980681943;247;4;1;43;
2691;2100;Saint-Quentin;;49.8472336321;3.2776949946;691;98;3;2;
53050;53270;Chammes;;48.0727932387;-0.3840927893;50;26;2;53;
27472;27190;Portes;;49.0251871299;0.9482638135;472;11;3;27;
81150;81500;Lugan;;43.7330225833;1.7175052996;150;17;2;81;
50180;50420;Fervaches;;48.9947726206;-1.0798204333;180;45;4;50;
71550;71700;Uchizy;;46.4985733672;4.8868976006;550;49;5;71;
;;;;42.3547035924;9.3605047119;;;;;
55059;55130;Bonnet;;48.5253805044;5.4259233407;59;10;2;55;
26185;26270;Mirmande;;44.6886093237;4.8445859110;185;13;3;26;
71071;71110;Céron;;46.2805440909;3.9373088971;71;28;3;71;
3271;3700;Serbannes;;46.0989196820;3.3524574561;271;10;3;3;
24316;24410;Parcoul;;45.1915224992;0.0356230851;316;31;3;24;
3221;3360;Saint-Bonnet-Tronçais;;46.6697641721;2.6961334117;221;2;1;3;
72067;72160;Chapelle-Saint-Rémy;La;48.1038981246;0.4650683882;67;32;2;72;
35177;35520;Mézière;La;48.2130666672;-1.7505721530;177;17;3;35;
52280;52360;Lecey;;47.8635165634;5.4321897867;280;20;2;52;
69252;69420;Trèves;;45.5348002841;4.6896853924;252;7;1;69;
1449;1320;Villette-sur-Ain;;46.0099989032;5.2521454719;449;8;2;1;
52222;52230;Gillaumé;;48.4693259695;5.3457909011;222;22;3;52;
54092;54930;Bouzanville;;48.3707663422;6.1073321868;92;14;3;54;
;;;;42.0878005416;8.7738353302;;;;;
41152;41210;Montrieux-en-Sologne;;47.5504272914;1.7181251771;152;15;3;41;
72372;72600;Vezot;;48.3534640428;0.2948169235;372;18;2;72;
76081;76370;Berneval-le-Grand;;49.9546745934;1.1889257924;81;14;1;76;
38272;38160;Murinais;;45.2105311405;5.3192228432;272;30;1;38;
59572;59740;Solre-le-Château;;50.1722246859;4.0963031779;572;59;1;59;
81166;81130;Milhavet;;44.0326429455;2.0274100860;166;37;1;81;
57116;57420;Buchy;;48.9799646993;6.2845734095;116;33;4;57;
39331;39250;Mignovillard;;46.7758072369;6.1439418608;331;20;2;39;
80065;80300;Beaucourt-sur-l'Ancre;;50.0848116723;2.6839802305;65;6;4;80;
59414;59182;Montigny-en-Ostrevent;;50.3682405226;3.1801198651;414;24;3;59;
43037;43510;Bouchet-Saint-Nicolas;Le;44.8870691928;3.7876761902;37;6;2;43;
51278;51400;Grandes-Loges;Les;49.0640467710;4.2890255572;278;35;1;51;
57754;57630;Xanrey;;48.7510168445;6.5874192208;754;34;2;57;
60484;60860;Oudeuil;;49.5491561309;2.0272272552;484;22;1;60;
57437;57480;Malling;;49.4148882065;6.3067252254;437;31;7;57;
87124;87800;Rilhac-Lastours;;45.6589406753;1.1137994813;124;18;2;87;
84109;84330;Saint-Hippolyte-le-Graveyron;;44.1203739984;5.0761092980;109;9;3;84;
61382;61420;Saint-Denis-sur-Sarthon;;48.4579481796;-0.0372277849;382;2;1;61;
88525;88500;Vroville;;48.2872761929;6.1721617001;525;16;2;88;
63446;63260;Vensat;;46.0542113877;3.1660152150;446;1;4;63;
59265;59144;Gommegnies;;50.2650047987;3.7083608558;265;50;1;59;
;;;;42.4174866723;9.4254276459;;;;;
81278;81240;Sauveterre;;43.4536167726;2.5599134673;278;28;2;81;
72143;72150;Grand-Lucé;Le;47.8672204186;0.4631216360;143;13;1;72;
4224;4240;Ubraye;;43.9070446741;6.6871846321;224;2;2;4;
32040;32450;Bédéchan;;43.5735987591;0.7923128279;40;27;1;32;
71420;71370;Saint-Germain-du-Plain;;46.6944314945;4.9839500877;420;43;2;71;
88218;88640;Granges-sur-Vologne;;48.1276027660;6.8101494623;218;8;3;88;
27300;27170;Grosley-sur-Risle;;49.0447187021;0.8054658687;300;4;2;27;
16083;16140;Charmé;;45.9500924838;0.1200322873;83;1;3;16;
51562;51500;Taissy;;49.2040224576;4.0814984442;562;40;3;51;
80103;80190;Biarre;;49.7219365982;2.8834765975;103;38;3;80;
71574;71960;Verzé;;46.3779055015;4.7367132024;574;26;5;71;
;;;;42.5033810267;8.8194717757;;;;;
40305;40320;Sorbets;;43.6409732133;-0.3259455226;305;6;2;40;
36034;36210;Chabris;;47.2519122488;1.6619874023;34;18;4;36;
28085;28000;Chartres;;48.4471464884;1.5057061062;85;99;1;28;
